LineNo,ExportDateTime,BRVersion,Cube,User,Entity,Parent,Cons,Scenario,Time,View,Account,Flow,Origin,IC,UD1,UD2,UD3,UD4,UD5,UD6,UD7,UD8,Amount
101,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A61002","Input","Import","None","D340","CTY100","None","PLT100","None","None","None","None",1669.392768000
102,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A60000","Input","Import","None","D115","CTY241","None","None","None","None","None","None",27774.803833309
103,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A60000","Input","Import","None","D120","CTY241","None","None","None","None","None","None",2633.230416666
104,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","Sub_ALC_Payers","Input","Import","None","D100","CTY241","None","PLT100","None","None","None","None",1201.000000000
105,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A60000","Input","Import","None","D125","CTY241","None","None","None","None","None","None",1310.833333329
106,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A60000","Input","Import","None","D205","CTY241","None","None","None","None","None","None",2502.499999994
107,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A40000","Input","Import","None","D100","CTY241","None","PLT100","None","None","None","None",304792.000000000
108,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A60000","Input","Import","None","D210","CTY241","None","None","None","None","None","None",101675.830666664
109,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A40000","Input","Import","None","D100","CTY241","None","PLT200","None","None","None","None",133739.000000000
110,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A60000","Input","Import","None","D325","CTY241","None","None","None","None","None","None",16717.041916663
111,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A40000","Input","Import","None","D100","CTY241","None","PLT300","None","None","None","None",336878.000000000
112,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A60000","Input","Import","None","D340","CTY241","None","None","None","None","None","None",45318.445333329
113,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A60500","Input","Import","None","D410","CTY241","None","PLT100","None","None","None","None",-4966.313667000
114,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A60500","Input","Import","None","D420","CTY241","None","PLT100","None","None","None","None",-1549.808917000
115,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A40000","Input","Import","None","D100","CTY241","None","PLT500","None","None","None","None",32592.000000000
116,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A80300","Input","Import","None","D100","CTY241","None","PLT100","None","None","None","None",25482.000000000
117,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A81000","Input","Import","None","D100","CTY241","None","PLT100","None","None","None","None",19470.000000000
118,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A70000","Input","Import","None","D210","CTY241","None","PLT100","Ch9947","None","None","None",20000.000000000
119,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A70000","Input","Import","None","D210","CTY241","None","PLT100","None","None","None","None",200000.000000000
120,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A86330","Input","Import","None","D100","CTY241","None","PLT100","None","None","None","None",8520.000000000
121,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A81000","Input","Import","None","D355","CTY241","None","None","Ch9951","None","None","None",4030.160000000
122,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","Balance","Input","Import","None","None","None","None","None","None","None","None","None",-644659.015513187
123,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A81110","Input","Import","None","D100","CTY241","None","PLT100","None","None","None","None",19628.000000000
124,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A72000","Input","Import","None","D205","CTY241","None","PLT100","Ch7750","None","None","None",7937.000000000
125,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A72000","Input","Import","None","D205","CTY241","None","PLT100","Ch7760","None","None","None",184103.000000000
126,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A81610","Input","Import","None","D100","CTY241","None","PLT100","None","None","None","None",13846.000000000
127,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","CurEarnings","Input","Import","None","None","None","None","None","None","None","None","None",-644659.015513187
128,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A72000","Input","Import","None","D205","CTY241","None","PLT100","Ch7780","None","None","None",128450.000000000
129,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A81620","Input","Import","None","D100","CTY241","None","PLT100","None","None","None","None",7000.000000000
130,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A73000","Input","Import","None","D210","CTY241","None","PLT100","None","None","None","None",30000.000000000
131,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A60000","Input","Import","None","D350","CTY241","None","None","None","None","None","None",11871.586916669
132,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A64210","Input","Import","None","D115","CTY241","None","PLT100","None","None","None","None",0.000000000
133,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A73010","Input","Import","None","D210","CTY241","None","PLT100","None","None","None","None",100000.000000000
134,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A64210","Input","Import","None","D120","CTY241","None","PLT100","None","None","None","None",0.000000000
135,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A60500","Input","Import","None","D115","CTY241","None","PLT100","None","None","None","None",-2199.982167000
136,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A60500","Input","Import","None","D120","CTY241","None","PLT100","None","None","None","None",-239.384583300
137,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A64210","Input","Import","None","D125","CTY241","None","PLT100","None","None","None","None",0.000000000
138,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A74000","Input","Import","None","D130","CTY241","None","PLT500","None","None","None","None",27029.000000000
139,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A64210","Input","Import","None","D205","CTY241","None","PLT100","None","None","None","None",0.000000000
